Hue,Saturation,Value,Label
45.0,146.0,40.0,forest_tiles
43.0,144.0,44.0,forest_tiles
43.0,158.0,42.0,forest_tiles
36.0,150.0,48.0,forest_tiles
45.0,162.0,46.0,forest_tiles
52.0,102.0,36.0,forest_tiles
48.0,105.0,35.0,forest_tiles
40.0,77.0,44.0,forest_tiles
58.0,83.0,36.0,forest_tiles
56.0,85.0,35.0,forest_tiles
51.0,97.0,39.0,forest_tiles
50.0,108.0,34.0,forest_tiles
37.0,137.0,39.0,forest_tiles
40.0,113.0,41.0,forest_tiles
33.0,161.0,53.0,forest_tiles
43.0,162.0,45.0,forest_tiles
41.0,151.0,45.0,forest_tiles
51.0,122.0,37.0,forest_tiles
46.0,122.0,36.0,forest_tiles
40.0,74.0,47.0,forest_tiles
60.0,80.0,38.0,forest_tiles
58.0,83.0,37.0,forest_tiles
58.0,88.0,42.0,forest_tiles
52.0,94.0,37.0,forest_tiles
38.0,136.0,42.0,forest_tiles
37.5,115.0,43.0,forest_tiles
35.0,153.0,52.0,forest_tiles
43.0,157.0,44.0,forest_tiles
35.0,153.0,52.0,forest_tiles
35.0,153.0,52.0,forest_tiles
43.0,157.0,44.0,forest_tiles
42.0,149.0,44.0,forest_tiles
43.0,221.0,149.0,grassland_tiles
44.0,222.0,142.0,grassland_tiles
42.0,220.0,141.0,grassland_tiles
37.0,228.0,140.0,grassland_tiles
44.0,204.0,145.0,grassland_tiles
42.0,218.0,158.0,grassland_tiles
44.0,218.0,152.0,grassland_tiles
42.0,216.0,151.0,grassland_tiles
37.0,222.0,147.0,grassland_tiles
43.0,200.0,153.0,grassland_tiles
39.0,231.0,111.0,grassland_tiles
42.0,228.0,131.0,grassland_tiles
41.0,233.0,127.0,grassland_tiles
39.0,231.0,111.0,grassland_tiles
42.0,228.0,131.0,grassland_tiles
41.0,233.0,127.0,grassland_tiles
45.0,225.0,150.0,grassland_tiles
43.0,222.0,154.0,grassland_tiles
43.0,217.0,155.0,grassland_tiles
42.0,237.0,147.0,grassland_tiles
38.0,225.0,135.0,grassland_tiles
43.0,219.0,155.0,grassland_tiles
44.0,206.0,144.0,grassland_tiles
42.0,222.0,147.0,grassland_tiles
42.0,210.0,152.0,grassland_tiles
38.0,220.0,139.0,grassland_tiles
45.0,226.0,148.0,grassland_tiles
43.0,223.0,151.0,grassland_tiles
44.0,217.0,152.0,grassland_tiles
43.0,238.0,144.0,grassland_tiles
39.0,228.0,132.0,grassland_tiles
43.0,220.0,152.0,grassland_tiles
44.0,204.0,141.0,grassland_tiles
41.0,232.0,139.0,grassland_tiles
40.0,234.0,141.0,grassland_tiles
40.0,239.0,126.0,grassland_tiles
37.0,242.0,132.0,grassland_tiles
41.0,233.0,146.0,grassland_tiles
44.0,232.0,137.0,grassland_tiles
40.0,219.0,130.0,grassland_tiles
40.0,226.0,129.0,grassland_tiles
43.0,212.0,133.0,grassland_tiles
41.0,221.0,128.0,grassland_tiles
42.0,226.0,130.0,grassland_tiles
37.0,222.0,97.0,grassland_tiles
35.0,199.0,93.0,grassland_tiles
46.0,228.0,103.0,grassland_tiles
45.0,203.0,115.0,grassland_tiles
45.0,195.0,111.0,grassland_tiles
39.0,200.0,95.0,grassland_tiles
43.0,234.0,114.0,grassland_tiles
41.0,222.0,112.0,grassland_tiles
37.0,206.0,112.0,grassland_tiles
45.0,195.0,121.0,grassland_tiles
41.0,215.0,129.0,grassland_tiles
40.0,224.0,125.0,grassland_tiles
41.0,218.0,129.0,grassland_tiles
38.0,220.0,110.0,grassland_tiles
42.0,243.0,109.0,grassland_tiles
40.0,239.0,92.5,grassland_tiles
44.0,213.0,106.0,grassland_tiles
39.0,225.0,73.0,grassland_tiles
45.0,224.0,86.0,grassland_tiles
46.0,193.0,87.0,grassland_tiles
48.0,183.0,86.0,grassland_tiles
41.0,215.0,129.0,grassland_tiles
40.0,226.0,122.0,grassland_tiles
42.0,225.0,123.0,grassland_tiles
39.0,217.0,102.0,grassland_tiles
42.0,241.0,118.0,grassland_tiles
39.0,240.0,100.0,grassland_tiles
44.0,208.0,110.0,grassland_tiles
38.0,219.0,83.0,grassland_tiles
44.0,221.0,98.0,grassland_tiles
46.0,192.0,97.0,grassland_tiles
48.0,179.0,94.0,grassland_tiles
41.0,215.0,129.0,grassland_tiles
40.0,226.0,122.0,grassland_tiles
42.0,225.0,123.0,grassland_tiles
39.0,217.0,102.0,grassland_tiles
42.0,241.0,118.0,grassland_tiles
39.0,240.0,100.0,grassland_tiles
44.0,208.0,110.0,grassland_tiles
38.0,219.0,83.0,grassland_tiles
21.0,61.0,120.0,home_tiles
30.0,62.0,123.0,home_tiles
27.0,112.0,77.0,home_tiles
31.0,116.0,65.0,home_tiles
30.0,53.0,90.0,home_tiles
33.0,66.0,97.0,home_tiles
33.0,66.0,97.0,home_tiles
34.0,59.0,123.0,home_tiles
29.0,128.0,62.0,home_tiles
30.0,105.0,64.0,home_tiles
30.0,56.0,79.0,home_tiles
35.0,81.0,121.0,home_tiles
21.0,81.0,128.0,home_tiles
30.0,55.0,103.0,home_tiles
31.0,149.0,65.0,home_tiles
23.0,112.0,66.0,home_tiles
26.0,85.0,121.0,home_tiles
87.0,41.0,92.0,home_tiles
32.0,45.0,103.0,home_tiles
33.0,79.0,59.0,home_tiles
32.0,70.0,53.0,home_tiles
32.0,70.0,53.0,home_tiles
105.0,240.0,144.0,lake_tiles
105.0,250.0,159.0,lake_tiles
106.0,253.0,164.0,lake_tiles
105.0,240.0,142.0,lake_tiles
105.0,253.0,173.0,lake_tiles
105.0,254.0,173.0,lake_tiles
106.0,254.0,165.0,lake_tiles
106.0,253.0,163.0,lake_tiles
106.0,250.0,150.0,lake_tiles
106.0,253.0,161.0,lake_tiles
105.0,252.0,171.0,lake_tiles
105.0,254.0,174.0,lake_tiles
105.0,250.0,161.0,lake_tiles
106.0,248.0,131.0,lake_tiles
105.0,238.0,152.0,lake_tiles
105.0,248.0,166.0,lake_tiles
105.0,251.0,174.0,lake_tiles
105.0,235.0,150.0,lake_tiles
105.0,251.0,183.0,lake_tiles
105.0,252.0,180.0,lake_tiles
106.0,254.0,171.0,lake_tiles
106.0,254.0,175.0,lake_tiles
106.0,246.0,123.0,lake_tiles
105.0,244.0,128.0,lake_tiles
106.0,249.0,123.0,lake_tiles
106.0,246.0,123.0,lake_tiles
105.0,244.0,128.0,lake_tiles
106.0,249.0,123.0,lake_tiles
105.0,245.0,142.0,lake_tiles
105.0,253.0,169.0,lake_tiles
105.0,254.0,173.0,lake_tiles
105.0,254.0,169.0,lake_tiles
106.0,255.0,168.0,lake_tiles
